symbol	desc	logFC	adj.P.Val	B
 A1BG 	 alpha-1-B glycoprotein 	-0.167100912	0.2743171992	-5.4858280568
 A1CF 	 APOBEC1 complementation factor 	-0.9142833726	0.0779498532	-3.2773747549
 A2M 	 alpha-2-macroglobulin 	0.2243732487	0.3705479493	-5.9572606459
 A2ML1 	 alpha-2-macroglobulin-like 1 	-0.167060934	0.4437598772	-6.2227445403
 A3GALT2 	 alpha 1,3-galactosyltransferase 2 	-0.2216151805	0.310313349	-5.6853678688
 A4GALT 	 alpha 1,4-galactosyltransferase 	0.2675732304	0.1401463731	-4.31929144
 A4GNT 	 alpha-1,4-N-acetylglucosaminyltransferase 	-0.2028297902	0.2502315113	-5.3330357551
 AAAS 	 achalasia, adrenocortical insufficiency, alacrimia 	0.279468579	0.27870493	-5.5092798336
 AACS 	 acetoacetyl-CoA synthetase 	0.3355534356	0.1846094105	-4.806433689
 AADAC 	 arylacetamide deacetylase 	-0.0492801821	0.7906507573	-6.912989859
 AADACL2 	 arylacetamide deacetylase-like 2 	-0.167573872	0.3628689185	-5.9262984949
 AADACL3 	 arylacetamide deacetylase-like 3 	-0.2119726837	0.2786886814	-5.5089181301
 AADACL4 	 arylacetamide deacetylase-like 4 	-0.0011443639	0.9950925031	-7.0381460275
 AADAT 	 aminoadipate aminotransferase 	-0.4620340384	0.1726429728	-4.6889108254
 AAED1 	 AhpC	0.2018860154	0.3743420089	-5.9749792735
 AAGAB 	 alpha- and gamma-adaptin binding protein 	0.1738416097	0.465659348	-6.2898995913
 AAK1 	 AP2 associated kinase 1 	0.0964577453	0.6917384989	-6.7824163961
 AAK1 	 AP2 associated kinase 1 	0.0372394727	0.9018288474	-7.0078183012
 AAMDC 	 adipogenesis associated, Mth938 domain containing 	-0.2166165024	0.307284899	-5.6676449338
 AAMP 	 angio-associated, migratory cell protein 	-0.2478614848	0.1921082343	-4.8835870061
 AANAT 	 aralkylamine N-acetyltransferase 	-0.0393996644	0.8464696011	-6.9682854604
 AAR2 	 AAR2 splicing factor homolog (S. cerevisiae) 	0.3013176267	0.234250144	-5.2233764092
 AARD 	 alanine and arginine rich domain containing protein 	-0.5139194828	0.0352618959	-1.8211209962
 AARS 	 alanyl-tRNA synthetase 	0.0911713609	0.6532351716	-6.7220460758
 AARS2 	 alanyl-tRNA synthetase 2, mitochondrial 	0.0993029841	0.5850139832	-6.5912676396
 AASDH 	 aminoadipate-semialdehyde dehydrogenase 	-0.137750547	0.5237306238	-6.4504725754
 AASDHPPT 	 aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase 	-0.3264190957	0.2153700957	-5.0849543283
 AASDHPPT 	 aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase 	-0.0125298595	0.9551617526	-7.031681169
 AASS 	 aminoadipate-semialdehyde synthase 	-0.9340955165	0.0019830062	3.297517139
 AATF 	 apoptosis antagonizing transcription factor 	0.183793958	0.3081162209	-5.6728536064
 AATK 	 apoptosis-associated tyrosine kinase 	-0.2479845176	0.2526644912	-5.3487203257
 AATK-AS1 	 AATK antisense RNA 1 	-0.1587805252	0.3568154977	-5.9008837516
 ABAT 	 4-aminobutyrate aminotransferase 	-0.9484513429	0.0352290303	-1.8192637641
 ABCA1 	 ATP-binding cassette, sub-family A (ABC1), member 1 	-0.2080348094	0.4714377086	-6.30849692
 ABCA10 	 ATP-binding cassette, sub-family A (ABC1), member 10 	-0.1971175698	0.6326649115	-6.6844939678
 ABCA11P 	 ATP-binding cassette, sub-family A (ABC1), member 11, pseudogene 	-0.0341555542	0.9123875457	-7.0136259981
 ABCA12 	 ATP-binding cassette, sub-family A (ABC1), member 12 	0.4333910424	0.186144357	-4.8223541162
 ABCA13 	 ATP-binding cassette, sub-family A (ABC1), member 13 	-0.0263581599	0.9418304221	-7.0270407716
 ABCA2 	 ATP-binding cassette, sub-family A (ABC1), member 2 	0.1095330292	0.5420622872	-6.4943393234
 ABCA3 	 ATP-binding cassette, sub-family A (ABC1), member 3 	0.0909518226	0.5469840391	-6.5059673113
 ABCA4 	 ATP-binding cassette, sub-family A (ABC1), member 4 	-0.3810155784	0.2305224947	-5.1982472746
 ABCA5 	 ATP-binding cassette, sub-family A (ABC1), member 5 	-0.4479608203	0.0725613091	-3.1506502791
 ABCA6 	 ATP-binding cassette, sub-family A (ABC1), member 6 	-0.2097565114	0.5393993353	-6.4881071918
 ABCA7 	 ATP-binding cassette, sub-family A (ABC1), member 7 	0.4541409387	0.0250710944	-1.1599785931
 ABCA8 	 ATP-binding cassette, sub-family A (ABC1), member 8 	-0.3990013333	0.3132240718	-5.6998241116
 ABCA9 	 ATP-binding cassette, sub-family A (ABC1), member 9 	-0.2255736357	0.4343679675	-6.1936361095
 ABCB1 	 ATP-binding cassette, sub-family B (MDR	-0.5434878223	0.1147052465	-3.9581239323
 ABCB10 	 ATP-binding cassette, sub-family B (MDR	-0.1245293815	0.5422871122	-6.4948345806
 ABCB11 	 ATP-binding cassette, sub-family B (MDR	-0.2819154915	0.1681129309	-4.6379117414
 ABCB4 	 ATP-binding cassette, sub-family B (MDR	0.222095901	0.5179705623	-6.4364331062
 ABCB5 	 ATP-binding cassette, sub-family B (MDR	-0.5590235473	0.5187974541	-6.4385250397
 ABCB6 	 ATP-binding cassette, sub-family B (MDR	-0.1928336593	0.2767187837	-5.4979751452
 ABCB7 	 ATP-binding cassette, sub-family B (MDR	-0.4657339113	0.0380752288	-1.9697148643
 ABCB8 	 ATP-binding cassette, sub-family B (MDR	-0.2241987102	0.3174689836	-5.720260574
 ABCB8 	 ATP-binding cassette, sub-family B (MDR	-0.1847941405	0.3244192979	-5.754642873
 ABCB8 	 ATP-binding cassette, sub-family B (MDR	0.1481920413	0.4634833362	-6.2836473469
 ABCB8 	 ATP-binding cassette, sub-family B (MDR	-0.0336684442	0.8329236218	-6.9560404566
 ABCB9 	 ATP-binding cassette, sub-family B (MDR	-0.0621209371	0.6942990842	-6.7870912513
 ABCC1 	 ATP-binding cassette, sub-family C (CFTR	0.7743594142	0.0040607543	2.0080413139
 ABCC10 	 ATP-binding cassette, sub-family C (CFTR	0.2951601417	0.094326175	-3.616950209
 ABCC11 	 ATP-binding cassette, sub-family C (CFTR	-0.2893826024	0.2151347196	-5.08214109
 ABCC12 	 ATP-binding cassette, sub-family C (CFTR	-0.3001694669	0.0942213094	-3.6137942162
 ABCC13 	 ATP-binding cassette, sub-family C (CFTR	0.1068921494	0.5821615996	-6.5857930006
 ABCC2 	 ATP-binding cassette, sub-family C (CFTR	-0.9941583546	0.0926257307	-3.5835901599
 ABCC3 	 ATP-binding cassette, sub-family C (CFTR	0.2112648188	0.4637807325	-6.2846337366
 ABCC4 	 ATP-binding cassette, sub-family C (CFTR	-0.3586547626	0.2555289282	-5.3670277873
 ABCC5 	 ATP-binding cassette, sub-family C (CFTR	0.0113821623	0.963478101	-7.0338497093
 ABCC6 	 ATP-binding cassette, sub-family C (CFTR	-0.7206543347	0.0402579075	-2.0838258864
 ABCC6 	 ATP-binding cassette, sub-family C (CFTR	-0.2861449235	0.1579169167	-4.5319701873
 ABCC8 	 ATP-binding cassette, sub-family C (CFTR	-0.1680744453	0.3220656099	-5.7427038405
 ABCC9 	 ATP-binding cassette, sub-family C (CFTR	-0.3637564352	0.5748015989	-6.5687981457
 ABCD1 	 ATP-binding cassette, sub-family D (ALD), member 1 	0.19384113	0.3273201595	-5.7687026646
 ABCD2 	 ATP-binding cassette, sub-family D (ALD), member 2 	0.7771713836	0.0276861007	-1.3599054915
 ABCD3 	 ATP-binding cassette, sub-family D (ALD), member 3 	-0.8160145539	0.0218952398	-0.9055375328
 ABCD4 	 ATP-binding cassette, sub-family D (ALD), member 4 	0.0294092641	0.9095490812	-7.0122458991
 ABCE1 	 ATP-binding cassette, sub-family E (OABP), member 1 	0.0148518479	0.9691146638	-7.035179634
 ABCF1 	 ATP-binding cassette, sub-family F (GCN20), member 1 	0.3195443968	0.1690605342	-4.6488334977
 ABCF1 	 ATP-binding cassette, sub-family F (GCN20), member 1 	0.3195443968	0.1690605342	-4.6488334977
 ABCF1 	 ATP-binding cassette, sub-family F (GCN20), member 1 	0.3195443968	0.1690605342	-4.6488334977
 ABCF2 	 ATP-binding cassette, sub-family F (GCN20), member 2 	0.4174071565	0.096194403	-3.6464488225
 ABCF3 	 ATP-binding cassette, sub-family F (GCN20), member 3 	0.0019976454	0.9927617949	-7.0380573938
 ABCG1 	 ATP-binding cassette, sub-family G (WHITE), member 1 	0.0124215929	0.9716447197	-7.035724167
 ABCG2 	 ATP-binding cassette, sub-family G (WHITE), member 2 	-0.5887737925	0.0638782536	-2.9183068643
 ABCG4 	 ATP-binding cassette, sub-family G (WHITE), member 4 	-0.0246752788	0.8958254101	-7.0042720855
 ABCG5 	 ATP-binding cassette, sub-family G (WHITE), member 5 	-0.1066631145	0.6226552501	-6.6668483658
 ABCG8 	 ATP-binding cassette, sub-family G (WHITE), member 8 	-0.1982365487	0.3141807238	-5.7040910898
 ABHD1 	 abhydrolase domain containing 1 	-0.2541390963	0.1689565034	-4.6469280572
 ABHD10 	 abhydrolase domain containing 10 	-0.9600657112	0.0105059136	0.3474061668
 ABHD11 	 abhydrolase domain containing 11 	0.1666613066	0.371233524	-5.9620148196
 ABHD12 	 abhydrolase domain containing 12 	0.1159143755	0.5904554799	-6.6032785099
 ABHD12B 	 abhydrolase domain containing 12B 	0.1041123044	0.5416787914	-6.4936356146
 ABHD13 	 abhydrolase domain containing 13 	0.2390334355	0.1434451565	-4.3607241375
 ABHD14A 	 abhydrolase domain containing 14A 	-0.625146229	0.0492686466	-2.4498902986
 ABHD14B 	 abhydrolase domain containing 14B 	-0.0791918814	0.6815330199	-6.7659309909
 ABHD15 	 abhydrolase domain containing 15 	0.0691607697	0.7498874612	-6.8638107183
 ABHD16A 	 abhydrolase domain containing 16A 	0.3047071587	0.2143877766	-5.0766800749
 ABHD16A 	 abhydrolase domain containing 16A 	0.2954781013	0.2168335447	-5.0959829137
 ABHD16B 	 abhydrolase domain containing 16B 	0.0587387538	0.8326903317	-6.9558312327
 ABHD17A 	 abhydrolase domain containing 17A 	0.4500361355	0.0751233202	-3.2096017197
 ABHD17A 	 abhydrolase domain containing 17A 	0.4500361355	0.0751233202	-3.2096017197
